language	basic	np	Dist_D	Dist_N	Dist_A
Slovenian_2.6	SOV	A_ND	2	1	1
Slovenian_2.6	OSV	AN_D	1	1	2
Slovenian_2.6	SOV	AN_D	1	1	2
Slovenian_2.6	SOV	AN_D	1	1	2
Slovenian_2.6	OSV	DA_N	2	1	1
Slovenian_2.6	SOV	AN_D	1	1	2
Slovenian_2.6	OSV	AN_D	1	1	2
Slovenian_2.6	SOV	A_ND	2	1	1
Slovenian_2.6	OSV	DNA_	3	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	A_DN	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NAD_	1	3	2
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	OSV	A_DN	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	A_DN	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	A_ND	2	1	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Spanish_2.6	SOV	NA_D	1	2	1
Swedish_2.6	OSV	AND_	1	2	3
Swedish_2.6	SVO	AN_D	1	1	2
Swedish_2.6	SVO	ADN_	2	1	3
Swedish_2.6	SVO	AN_D	1	1	2
Swedish_2.6	SVO	ADN_	2	1	3
Swedish_2.6	OSV	ADN_	2	1	3
Swedish_2.6	OSV	NAD_	1	3	2
Swedish_2.6	SVO	NAD_	1	3	2
Swedish_2.6	SVO	NAD_	1	3	2
Swedish_2.6	SOV	NAD_	1	3	2
Swedish_2.6	SVO	NDA_	2	3	1
Thai_2.6	SVO	DNA_	3	2	1
Thai_2.6	SOV	DAN_	3	1	2
Turkish_2.6	SOV	NDA_	2	3	1
Turkish_2.6	SOV	ADN_	2	1	3
Turkish_2.6	OSV	NDA_	2	3	1
Turkish_2.6	SOV	DAN_	3	1	2
Turkish_2.6	SOV	DAN_	3	1	2
Turkish_2.6	OSV	AND_	1	2	3
Turkish_2.6	SOV	AND_	1	2	3
Turkish_2.7	OSV	NAD_	1	3	2
Turkish_2.7	SOV	AND_	1	2	3
Turkish_2.7	OSV	ADN_	2	1	3
Turkish_2.7	OSV	ADN_	2	1	3
Turkish_2.7	OSV	ADN_	2	1	3
Turkish_2.7	SOV	ADN_	2	1	3
Ukrainian_2.6	OSV	DNA_	3	2	1
Ukrainian_2.6	SVO	NA_D	1	2	1
Ukrainian_2.6	OSV	NA_D	1	2	1
Ukrainian_2.6	OSV	NA_D	1	2	1
Ukrainian_2.6	OSV	A_ND	2	1	1
Ukrainian_2.6	OSV	NA_D	1	2	1
Ukrainian_2.6	OSV	A_ND	2	1	1
Ukrainian_2.6	SOV	NDA_	2	3	1
Ukrainian_2.6	SOV	NDA_	2	3	1
Ukrainian_2.6	SVO	NDA_	2	3	1
Ukrainian_2.6	SVO	NDA_	2	3	1
Upper_Sorbian_2.6	SOV	NA_D	1	2	1
Upper_Sorbian_2.6	OSV	A_ND	2	1	1
Upper_Sorbian_2.6	SOV	NA_D	1	2	1
Upper_Sorbian_2.6	OSV	NDA_	2	3	1
Urdu_2.6	SOV	DNA_	3	2	1
Urdu_2.6	SOV	DNA_	3	2	1
Urdu_2.6	SOV	NDA_	2	3	1
Urdu_2.6	SOV	DNA_	3	2	1
Urdu_2.6	OSV	DNA_	3	2	1
Urdu_2.6	SOV	DNA_	3	2	1
Urdu_2.6	SOV	DNA_	3	2	1
Urdu_2.6	SOV	NDA_	2	3	1
Urdu_2.6	SOV	NDA_	2	3	1
Urdu_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SVO	A_ND	2	1	1
Uyghur_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SOV	NA_D	1	2	1
Uyghur_2.6	SOV	NDA_	2	3	1
Uyghur_2.6	SOV	DAN_	3	1	2
Uyghur_2.6	SOV	A_ND	2	1	1
Vietnamese_2.6	SOV	A_DN	1	2	1
Vietnamese_2.6	SOV	DAN_	3	1	2
Vietnamese_2.6	SOV	A_DN	1	2	1
Vietnamese_2.6	SOV	AN_D	1	1	2
Vietnamese_2.6	OSV	A_DN	1	2	1
Vietnamese_2.6	SOV	DAN_	3	1	2
Vietnamese_2.6	SOV	NDA_	2	3	1
Vietnamese_2.6	SOV	NA_D	1	2	1
Vietnamese_2.6	SOV	DAN_	3	1	2
Vietnamese_2.6	SOV	DNA_	3	2	1
Vietnamese_2.6	OSV	DNA_	3	2	1
Welsh_2.6	SOV	A_ND	2	1	1
Welsh_2.6	SOV	A_ND	2	1	1
Welsh_2.6	SOV	A_ND	2	1	1
Wolof_2.6	SVO	AND_	1	2	3
Wolof_2.6	SVO	AND_	1	2	3
Wolof_2.6	SVO	NAD_	1	3	2
Wolof_2.6	SOV	AND_	1	2	3
Wolof_2.6	SVO	NAD_	1	3	2
Wolof_2.6	SVO	A_DN	1	2	1
Wolof_2.6	SVO	AND_	1	2	3
Wolof_2.6	SVO	A_DN	1	2	1
Wolof_2.6	SOV	AD_N	1	1	2
Wolof_2.6	SVO	A_DN	1	2	1
Wolof_2.6	SVO	A_DN	1	2	1
Wolof_2.6	SVO	A_DN	1	2	1
Wolof_2.6	SVO	A_DN	1	2	1
